nome,tipo,logradouro,numero,bairro,subprefeitura,latitude,longitude,quantidade_de_material
EM VIRGILIO VARZEA,ESCOLA,RUA JOSE SILVA ,155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179
CIEP ANTONIO EVARISTO DE MORAES,ESCOLA,AVENIDA DE SANTA CRUZ S/N,S/N,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194
E.M. JOSE MAURO DE VASCONCELOS,ESCOLA,RUA MARLIERIA ,S/N,BANGU,GRANDE BANGU,-22.85044,-43.46686,599
EM LEONARDO DA VINCI,ESCOLA,RUA RENATO REBECCHI S/N,S/N,BANGU,GRANDE BANGU,-22.89253,-43.47295,315
E.M. NACOES UNIDAS,ESCOLA,RUA DOS LIMADORES S/N,S/N,BANGU,GRANDE BANGU,-22.88815,-43.47629,435
CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO ,S/N,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400
EM CORYNTHO DA FONSECA,ESCOLA,RUA URUQUE S/N,S/N,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148
EM. ENGENHEIRO LAFAYETTE DE ANDRADA,ESCOLA,AVENIDA DUQUE DE CAXIAS ,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128
EM LAURO MULLER,ESCOLA,RUA ROSA DE ALMEIDA ,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269
EM MOACIR PADILHA,ESCOLA,RUA GENERAL GOMES DE CASTRO ,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571
ESCOLA MUNICIPAL PADRE LEONEL FRANCA,ESCOLA,AVENIDA CANAL S/N,S/N,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235
EM PAULO MARANHAO,ESCOLA,RUA DO GOVERNO ,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187
EM TASSO DA SILVEIRA,ESCOLA,RUA GENERAL BERNARDINO DE MATOS ,S/N,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0
EM VISCONDE DE PORTO SEGURO,ESCOLA,RUA TEOFILO GUIMARAES ,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362
CIEP CLEMENTINA DE JESUS,ESCOLA,AVENIDA ALHAMBRA ,S/N,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71
CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,ESCOLA,ESTRADA MORICABA ,S/N,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591
CIEP HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO S/N,S/N,AUGUSTO VASCONCELOS,NAO INFORMADA,-22.88649,-43.5288,221
CIEP PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS S/N,S/N,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372
COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA ,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479
EM ALFREDO CESARIO ALVIM,ESCOLA,RUA RIO DA PRATA RUA LUISA MARILAC ,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99
EM CORA CORALINA,ESCOLA,RUA VOTORANTIM S/N KM  MENDANHA,S/N,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157
E.M FERNANDO COSTA,ESCOLA,RUA JOSE ALBANO ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296
E.M PROFESSOR PAULO SILVA,ESCOLA,RUA JAIRO CORREA ,S/N,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330
EM JESUS SOARES PEREIRA,ESCOLA,RUA CONSOLACAO ,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316
CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO S/N,S/N,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106
CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS ,S/N,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207
EM ANDRE VIDAL DE NEGREIROS,ESCOLA,RUA FELIPE CARDOSO ,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
EM FERNANDO AZEVEDO,ESCOLA,RUA DAS PALMEIRAS IMPERIAIS ,S/N,SANTA CRUZ,ZONA OESTE,-22.92307,-43.69233,459
EM MARECHAL PEDRO CAVALCANTI,ESCOLA,RUA PORTO FIRME ,S/N,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537
ESCOLA MUNICIPAL NELSON ROMERO,ESCOLA,RUA JOSE BALDINO ,S/N,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342
EM PESTALOZZI,ESCOLA,RUA SEVERIANO DAS CHAGAS ,S/N,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162
EM PROFESSORA FLAVIA DOS SANTOS SOARES,ESCOLA,RUA EUDALDO GOMES DA SILVA  CONJ URUCANIA,S/N,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579
E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,ESCOLA,AVENIDA MARIO PEREIRA DOS SANTOS ,S/N,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517
EM PROFESSORA SILVIA DE ARAUJO TOLEDO,ESCOLA,AVENIDA CANAL   CONJ CESARAO,3,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0
EM WALQUIR PEREIRA,ESCOLA,ESTRADA DE SEPETIBA S/N BLOCO ,S/N,NOVA SEPETIBA,JACAREPAGUA,-22.95601,-43.68675,135
CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA ,S/N,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341
EM BERTHA LUTZ,ESCOLA,ESTRADA DO PIAI ,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329
EM DEBORA MENDES DE MORAES,ESCOLA,RUA BELCHIOR DA FONSECA ,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570
EM ENGENHEIRO GASTAO RANGEL,ESCOLA,ESTRADA DO MAGARCA ,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64355,320
EM JONATAS SERRANO,ESCOLA,ESTRADA DO MATO ALTO ,S/N,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335
E.M. NARCISA AMALIA,ESCOLA,ESTRADA TEODORETO DE CAMARGO ,S/N,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0
EM PROFESSOR CASTILHO,ESCOLA,CAMINHO DA MATRIZ ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521
